"blind_id","detection_status"
"blind_000673","missed"
"blind_000674","missed"
"blind_000675","found"
"blind_000676","missed"
"blind_000677","missed"
"blind_000678","missed"
"blind_000679","missed"
"blind_000680","missed"
"blind_000681","missed"
"blind_000682","found"
"blind_000683","missed"
"blind_000684","found"
"blind_000685","missed"
"blind_000686","found"
"blind_000687","missed"
"blind_000688","missed"
"blind_000689","found"
"blind_000690","missed"
"blind_000691","found"
"blind_000692","found"
"blind_000693","found"
"blind_000694","found"
"blind_000695","found"
"blind_000696","found"
"blind_000697","missed"
"blind_000698","missed"
"blind_000699","missed"
"blind_000700","missed"
"blind_000701","missed"
"blind_000702","missed"
"blind_000703","missed"
"blind_000704","missed"
"blind_000705","missed"
"blind_000706","missed"
"blind_000707","found"
"blind_000708","missed"
"blind_000709","missed"
"blind_000710","found"
"blind_000711","missed"
"blind_000712","missed"
"blind_000713","missed"
"blind_000714","missed"
"blind_000715","missed"
"blind_000716","missed"
"blind_000717","missed"
"blind_000718","missed"
"blind_000719","missed"
"blind_000720","missed"
"blind_000721","missed"
"blind_000722","found"
"blind_000723","missed"
"blind_000724","found"
"blind_000725","missed"
"blind_000726","missed"
"blind_000727","missed"
"blind_000728","missed"
"blind_000729","missed"
"blind_000730","missed"
"blind_000731","missed"
"blind_000732","missed"
"blind_000733","missed"
"blind_000734","missed"
"blind_000735","missed"
"blind_000736","missed"
"blind_000737","missed"
"blind_000738","missed"
"blind_000739","missed"
"blind_000740","missed"
"blind_000741","missed"
"blind_000742","found"
"blind_000743","missed"
"blind_000744","missed"
"blind_000745","missed"
"blind_000746","missed"
"blind_000747","missed"
"blind_000748","found"
"blind_000749","missed"
"blind_000750","missed"
"blind_000751","found"
"blind_000752","missed"
"blind_000753","found"
"blind_000754","missed"
"blind_000755","missed"
"blind_000756","missed"
"blind_000757","missed"
"blind_000758","missed"
"blind_000759","missed"
"blind_000760","found"
"blind_000761","found"
"blind_000762","missed"
"blind_000763","missed"
"blind_000764","missed"
"blind_000765","missed"
"blind_000766","missed"
"blind_000767","missed"
"blind_000768","missed"
"blind_000769","missed"
"blind_000770","missed"
"blind_000771","missed"
"blind_000772","missed"
"blind_000773","missed"
"blind_000774","missed"
"blind_000775","missed"
"blind_000776","missed"
"blind_000777","found"
"blind_000778","missed"
"blind_000779","missed"
"blind_000780","missed"
"blind_000781","found"
"blind_000782","missed"
"blind_000783","missed"
"blind_000784","missed"
"blind_000785","missed"
"blind_000786","missed"
"blind_000787","found"
"blind_000788","found"
"blind_000789","found"
"blind_000790","missed"
"blind_000791","found"
"blind_000792","missed"
"blind_000793","missed"
"blind_000794","missed"
"blind_000795","missed"
"blind_000796","missed"
"blind_000797","missed"
"blind_000798","found"
"blind_000799","missed"
"blind_000800","found"
"blind_000801","missed"
"blind_000802","missed"
"blind_000803","missed"
"blind_000804","missed"
"blind_000805","missed"
"blind_000806","found"
"blind_000807","found"
"blind_000808","missed"
"blind_000809","missed"
"blind_000810","missed"
"blind_000811","missed"
"blind_000812","missed"
"blind_000813","missed"
"blind_000814","missed"
"blind_000815","found"
"blind_000816","found"
"blind_000817","found"
"blind_000818","missed"
"blind_000819","found"
"blind_000820","missed"
"blind_000821","missed"
"blind_000822","found"
"blind_000823","found"
"blind_000824","missed"
"blind_000825","missed"
"blind_000826","found"
"blind_000827","missed"
"blind_000828","missed"
"blind_000829","missed"
"blind_000830","found"
"blind_000831","missed"
"blind_000832","missed"
"blind_000833","missed"
"blind_000834","missed"
"blind_000835","missed"
"blind_000836","found"
"blind_000837","missed"
"blind_000838","found"
"blind_000839","found"
"blind_000840","found"
"blind_000841","missed"
"blind_000842","missed"
"blind_000843","missed"
"blind_000844","missed"
"blind_000845","found"
"blind_000846","found"
"blind_000847","found"
"blind_000848","missed"
"blind_000849","missed"
"blind_000850","missed"
"blind_000851","missed"
"blind_000852","missed"
"blind_000853","found"
"blind_000854","found"
"blind_000855","missed"
"blind_000856","found"
"blind_000857","missed"
"blind_000858","missed"
"blind_000859","found"
"blind_000860","missed"
"blind_000861","missed"
"blind_000862","missed"
"blind_000863","missed"
"blind_000864","missed"
"blind_000865","found"
"blind_000866","found"
"blind_000867","missed"
"blind_000868","missed"
"blind_000869","missed"
"blind_000870","missed"
"blind_000871","missed"
"blind_000872","missed"
"blind_000873","missed"
"blind_000874","missed"
"blind_000875","missed"
"blind_000876","missed"
"blind_000877","missed"
"blind_000878","missed"
"blind_000879","missed"
"blind_000880","missed"
"blind_000881","missed"
"blind_000882","missed"
"blind_000883","found"
"blind_000884","missed"
"blind_000885","found"
"blind_000886","found"
"blind_000887","found"
"blind_000888","found"
"blind_000889","missed"
"blind_000890","found"
"blind_000891","found"
